Wins,QB:Comp%,QB:Pass Yds,QB:Pass TD,QB:Int,QB:First Down,QB:Adj Yds/att,Pass Yds/comp,QB:Pass Yds/g,QB:Sacked,QB:Sacked/g,GWD,RB:Rush Yds,RB:Rush TD,RB:First Down,RB:Yds/rush,RB:Fumbles,WR1:Catch%,WR1:Rec Yds,WR1:Rec TD,WR1:First Downs,WR1:Yds/rec,WR1:Yds/tgt,WR1:Fumbles,WR2:Catch%,WR2:Rec Yds,WR2:Rec TD,WR2:First Downs,WR2:Yds/rec,WR2:Yds/tgt,WR2:Fumbles,WR3:Catch%,WR3:Rec Yds,WR3:Rec TD,WR3:First Downs,WR3:Yds/rec,WR3:Yds/tgt,WR3:Fumbles,TE:Catch%,TE:Rec Yds,TE:Rec TD,TE:First Downs,TE:Yds/rec,TE:Yds/tgt,TE:Fumbles,OL:Sacked,OL:Sacked/g,OL:Yds/rush,DL:Blitzes,DL:Blitz%,DL:Hurries,DL:Hurry%,DL:Knockdowns,DL:Knockdown%,DL:Sacks,DL:Pressures,DL:Pressure%,LB:Total Yds,LB:Points,LB:Yds/play,LB:FF,LB:Pass Yds/att,LB:Rush Yds,LB:Rush TD,LB:Yds/rush,LB:Penalties,LB:Penalty Yds,DB:Pass Comp,DB:Pass Yds,DB:Pass TD,DB:Int,DB:Pass Net Yds/att,DB:Pass FD,DB:Turnovers,DB:Penalties,DB:Penalty Yards,DB:Turnover%,DB:Total Yds,DB:Points
8,62.3,2242,17,7,105,7.0,11.0,186.8,26,7.4,2,764,3,47,6.8,5,64.0,458,2,23,9.5,6.1,2,75.5,407,3,19,11.0,8.3,1,53.6,285,2,7,19.0,10.2,1,64.6,847,5,48,11.6,7.5,1,26,7.4,6.8,142,21.3,42,6.3,38.0,6.4,48,128,19.2,5513,315,5.3,11,6.2,1566,11,3.9,79,650,394,3947,20,14,6.2,206,25,79,650,13.9,5513,315
13,63.3,4283,35,14,214,7.7,11.9,267.7,33,5.5,4,819,5,43,4.6,3,70.1,1429,11,74,13.2,9.3,1,51.6,836,7,35,17.4,9.0,1,64.6,423,4,27,10.1,6.5,0,73.8,517,6,25,10.8,8.0,0,33,5.5,4.6,124,19.4,46,7.2,56.0,9.8,40,142,22.2,5106,286,5.1,10,5.6,1673,10,4.3,89,754,362,3433,21,17,5.6,181,27,89,754,14.3,5106,286
4,58.6,1143,7,3,57,8.2,13.9,190.5,10,6.7,1,914,5,45,4.5,1,53.4,888,7,44,14.1,7.5,0,59.6,490,1,24,17.5,10.4,2,53.7,296,2,14,13.5,7.2,4,70.0,197,0,8,9.4,6.6,0,10,6.7,4.5,186,29.2,41,6.4,50.0,8.6,35,126,19.8,5953,374,5.4,7,6.3,2085,17,4.3,105,866,383,3868,25,10,6.3,194,17,105,866,8.3,5953,374
3,60.4,2242,17,11,91,6.6,11.7,149.5,55,14.7,2,1143,8,65,7.1,16,65.6,493,2,20,12.3,8.1,0,55.3,323,1,14,15.4,8.5,1,46.3,245,3,9,12.9,6.0,1,72.5,544,7,27,10.9,7.9,1,55,14.7,7.1,97,18.2,45,8.4,20.0,4.2,20,85,15.9,6390,463,6.1,9,7.4,2674,31,4.9,84,647,323,3716,22,14,7.4,184,23,84,647,11.9,6390,463
12,68.3,4475,35,12,222,7.6,10.8,279.7,41,6.3,4,814,7,47,3.9,0,64.9,1046,9,58,12.0,7.8,2,67.9,1029,7,47,13.9,9.4,0,70.7,762,5,42,13.1,9.3,0,76.5,414,2,26,8.0,6.1,0,41,6.3,3.9,124,20.4,38,6.3,68.0,12.2,30,136,22.4,5371,322,5.4,11,6.2,1706,12,4.2,100,832,329,3665,17,13,6.2,173,24,100,832,13.1,5371,322
4,64.0,2608,12,6,129,7.0,11.1,163.0,24,6.1,2,1525,12,69,5.0,1,59.1,1160,9,61,14.9,8.8,0,63.5,839,3,33,13.8,8.7,1,68.6,214,0,7,8.9,6.1,0,72.5,628,4,36,10.8,7.9,1,24,6.1,5.0,130,22.9,42,7.4,27.0,5.2,34,103,18.2,5631,381,5.4,9,6.0,2295,22,4.7,88,714,315,3336,20,11,6.0,166,20,88,714,10.2,5631,381
8,66.2,2860,23,15,142,6.7,11.0,238.3,20,4.8,2,1007,9,46,5.2,0,68.6,1359,9,67,12.7,8.7,0,58.1,555,3,25,12.9,7.5,1,52.7,424,4,25,10.9,5.7,0,64.0,577,5,27,10.1,6.5,1,20,4.8,5.2,162,25.6,54,8.5,54.0,9.8,54,162,25.6,5613,342,5.1,17,5.7,2198,9,4.4,98,851,345,3415,23,16,5.7,174,33,98,851,16.2,5613,342
4,60.5,3524,16,11,142,6.9,12.1,234.9,55,10.2,3,318,2,15,3.5,5,67.0,972,6,41,14.5,9.7,0,58.7,829,2,38,13.0,7.6,0,72.7,311,0,14,13.0,9.4,0,60.0,411,2,18,12.5,7.5,0,55,10.2,3.5,219,32.9,40,6.0,47.0,7.8,36,123,18.5,5440,359,5.0,8,5.6,1866,12,4.3,106,922,392,3574,20,15,5.6,180,23,106,922,10.6,5440,359
9,65.1,4438,29,7,227,8.0,11.6,261.1,23,3.8,3,1066,17,65,4.1,3,72.6,1161,6,68,11.0,8.0,0,73.4,616,0,24,13.1,9.6,3,57.7,502,3,24,16.7,9.7,0,75.0,216,4,13,12.0,9.0,0,23,3.8,4.1,200,31.2,61,9.5,49.0,8.8,39,149,23.2,6670,427,6.2,10,7.0,2491,22,5.2,103,818,353,4179,26,12,7.0,209,22,103,818,11.9,6670,427
8,64.6,3695,26,12,177,6.8,10.6,217.4,32,5.6,4,1121,2,54,5.3,5,60.0,788,6,45,13.1,7.9,0,62.1,611,7,28,14.9,9.3,0,62.7,425,3,20,10.1,6.3,2,79.1,470,2,20,8.9,7.0,0,32,5.6,5.3,174,32.5,42,7.9,50.0,10.5,34,126,23.6,5721,371,5.8,7,6.5,2372,18,5.0,100,916,314,3349,22,17,6.5,163,24,100,916,13.9,5721,371
